S,I,R,SuperSpreader
162.0,35.0,13.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,34.0,14.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
162.0,33.0,15.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
161.0,33.0,16.0,2.0
160.0,34.0,16.0,2.0
160.0,34.0,16.0,2.0
160.0,34.0,16.0,2.0
160.0,34.0,16.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,33.0,17.0,2.0
160.0,32.0,18.0,2.0
160.0,31.0,19.0,2.0
160.0,31.0,19.0,2.0
160.0,31.0,19.0,2.0
160.0,31.0,19.0,2.0
160.0,31.0,19.0,2.0
160.0,31.0,19.0,2.0
159.0,32.0,19.0,2.0
159.0,32.0,19.0,2.0
159.0,32.0,19.0,2.0
159.0,32.0,19.0,2.0
159.0,32.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
158.0,33.0,19.0,2.0
157.0,34.0,19.0,3.0
156.0,35.0,19.0,3.0
156.0,35.0,19.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
156.0,34.0,20.0,3.0
155.0,35.0,20.0,3.0
154.0,36.0,20.0,3.0
154.0,36.0,20.0,3.0
154.0,35.0,21.0,3.0
154.0,35.0,21.0,3.0
154.0,35.0,21.0,3.0
154.0,35.0,21.0,3.0
154.0,35.0,21.0,3.0
154.0,35.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
153.0,36.0,21.0,3.0
152.0,37.0,21.0,4.0
152.0,37.0,21.0,4.0
152.0,36.0,22.0,4.0
152.0,36.0,22.0,4.0
152.0,36.0,22.0,4.0
152.0,36.0,22.0,4.0
151.0,37.0,22.0,4.0
